Namespace(aux_classes=4, batch_size=16, burnin=10, conv_bias=True, delta_t=1, epochs=400, fc_bias=True, init_gain_backbone=0.5, init_gain_fc=1, k1=7, k2=7, log_int=10, lr=1e-07, lr_div=100, n_train=15, none_act=0.05, oc1=8, oc2=24, reset=1, save_int=5, target_act=0.95, tau_mem_high=20, tau_mem_low=20, tau_ref_high=2.857142857142857, tau_ref_low=2.857142857142857, tau_syn_high=7.5, tau_syn_low=7.5, thr=0.5, train_samples=100)
bcae306f-543a-4250-8775-48586ed8aaf1
Start Training Backbone
Epoch 1 | Batch 0/94 | Loss 36456.101562 | Rotate Loss 33646.734375 | Time 5.034323
Epoch 1 | Batch 10/94 | Loss 38020.768821 | Rotate Loss 34910.208807 | Time 5.167048
Epoch 1 | Batch 20/94 | Loss 38063.875744 | Rotate Loss 34698.306548 | Time 5.296552
Epoch 1 | Batch 30/94 | Loss 37919.979587 | Rotate Loss 34742.287802 | Time 5.145223
Epoch 1 | Batch 40/94 | Loss 38076.517912 | Rotate Loss 34069.715511 | Time 5.308434
Epoch 1 | Batch 50/94 | Loss 38124.225873 | Rotate Loss 33903.759498 | Time 5.408450
Epoch 1 | Batch 60/94 | Loss 38101.196209 | Rotate Loss 33802.340036 | Time 5.321594
Epoch 1 | Batch 70/94 | Loss 37980.560244 | Rotate Loss 33701.526188 | Time 5.256420
Epoch 1 | Batch 80/94 | Loss 37880.607350 | Rotate Loss 33940.037423 | Time 5.172357
Epoch 1 | Batch 90/94 | Loss 37875.910199 | Rotate Loss 33917.528073 | Time 5.316462
Epoch 1 : Accuracy 6.600000, Rotate Accuracy 27.666667, Time 560.676783
Epoch 2 | Batch 0/94 | Loss 36221.093750 | Rotate Loss 32254.960938 | Time 5.057344
Epoch 2 | Batch 10/94 | Loss 37893.884588 | Rotate Loss 34484.729403 | Time 5.378127
Epoch 2 | Batch 20/94 | Loss 37555.808966 | Rotate Loss 34334.212426 | Time 5.157358
Epoch 2 | Batch 30/94 | Loss 37633.784904 | Rotate Loss 34490.159526 | Time 5.315850
Epoch 2 | Batch 40/94 | Loss 37496.006002 | Rotate Loss 33751.136242 | Time 5.226347
Epoch 2 | Batch 50/94 | Loss 37473.871477 | Rotate Loss 33754.950521 | Time 5.284405
Epoch 2 | Batch 60/94 | Loss 37480.358478 | Rotate Loss 33572.243468 | Time 5.319343
Epoch 2 | Batch 70/94 | Loss 37393.457361 | Rotate Loss 33403.938710 | Time 5.171134
Epoch 2 | Batch 80/94 | Loss 37324.866898 | Rotate Loss 33575.263889 | Time 5.182595
Epoch 2 | Batch 90/94 | Loss 37326.099502 | Rotate Loss 33550.121480 | Time 5.151536
Epoch 2 : Accuracy 6.866667, Rotate Accuracy 27.500000, Time 571.630046
Epoch 3 | Batch 0/94 | Loss 37614.726562 | Rotate Loss 32399.976562 | Time 4.980963
Epoch 3 | Batch 10/94 | Loss 36940.178977 | Rotate Loss 34606.742188 | Time 5.280886
Epoch 3 | Batch 20/94 | Loss 36963.178385 | Rotate Loss 34275.350446 | Time 5.356588
Epoch 3 | Batch 30/94 | Loss 36920.948211 | Rotate Loss 34457.350302 | Time 5.330264
Epoch 3 | Batch 40/94 | Loss 36963.237995 | Rotate Loss 33637.505526 | Time 5.217239
Epoch 3 | Batch 50/94 | Loss 36900.950751 | Rotate Loss 33568.667892 | Time 5.297149
Epoch 3 | Batch 60/94 | Loss 36953.152280 | Rotate Loss 33525.392290 | Time 5.148888
Epoch 3 | Batch 70/94 | Loss 36942.519091 | Rotate Loss 33324.380282 | Time 5.205436
Epoch 3 | Batch 80/94 | Loss 36836.125627 | Rotate Loss 33573.705054 | Time 5.420724
Epoch 3 | Batch 90/94 | Loss 36889.236350 | Rotate Loss 33542.809924 | Time 5.232057
Epoch 3 : Accuracy 6.900000, Rotate Accuracy 27.233333, Time 569.992308
Epoch 4 | Batch 0/94 | Loss 37405.648438 | Rotate Loss 32177.335938 | Time 5.228298
Epoch 4 | Batch 10/94 | Loss 36238.273082 | Rotate Loss 33925.014915 | Time 5.326247
Epoch 4 | Batch 20/94 | Loss 36381.060826 | Rotate Loss 33710.617188 | Time 5.301004
Epoch 4 | Batch 30/94 | Loss 36384.977823 | Rotate Loss 33801.967238 | Time 5.222076
Epoch 4 | Batch 40/94 | Loss 36450.824219 | Rotate Loss 33026.976181 | Time 5.292027
Epoch 4 | Batch 50/94 | Loss 36519.307521 | Rotate Loss 33008.360907 | Time 5.164115
Epoch 4 | Batch 60/94 | Loss 36601.574347 | Rotate Loss 32946.638064 | Time 5.335388
Epoch 4 | Batch 70/94 | Loss 36599.944762 | Rotate Loss 32808.638314 | Time 5.214716
Epoch 4 | Batch 80/94 | Loss 36562.890191 | Rotate Loss 32987.968557 | Time 5.186146
